file,percent,correct,total
CTest1,100.0,118,118
CTest2,100.0,71,71
CTest3,100.0,84,84
CTest4,100.0,69,69
JavaTest1,100.0,16,16
JavaTest10,100.0,29,29
JavaTest11,100.0,24,24
JavaTest12,100.0,29,29
JavaTest13,100.0,86,86
JavaTest14,100.0,31,31
JavaTest15,100.0,35,35
JavaTest16,100.0,100,100
JavaTest2,100.0,56,56
JavaTest3,100.0,70,70
JavaTest4,62.5,15,24
JavaTest5,100.0,18,18
JavaTest6,100.0,19,19
JavaTest7,100.0,96,96
JavaTest8,100.0,67,67
JavaTest9,100.0,54,54
MDfileTest1,100.0,75,75
PythonTest1,100.0,466,466
PythonTest2,100.0,277,277
TxtFileTest1,100.0,9,9
TxtFileTest2,100.0,10,10
Overall,99.5,1924,1933
